WMC,ML,OOAD,ECOM,Major,Intern
A,A+,C+,C,B,C
A,A,C,D,B,C
A,B,C,D,C+,C+
A,A+,D,D,B,C
A,A,B+,C,B,C+
A,B+,C+,C,B+,D
A,A+,B+,B,B+,B
A,C+,C,F,B,C
A,B+,C+,C,C+,C
A,A,D,C,B+,C+
A,A+,B,C,A,C
A,A,B,C+,B+,C+
A,A,C+,C,B,C
A,A+,B,C+,B+,C
A,A+,C,C,B,C+
A,B+,C,C,B,C
A,A,B+,C,B+,B
A,A,C,D,B,C
A+,A+,C,D,B,C+
A,A,B,C+,B+,C+
A,B+,B,C+,B,C
A,A,C+,C,B,C
A,A+,B+,C,B+,B+
A,A+,B,C+,B,C+
A,A,C+,C+,B,B+
A,B,C,D,B,C
A,A,B+,B,B+,C
A,A+,B,C+,A,B
A,B+,B,C,B,C
A,A,C+,D,B,C
A,A+,C+,C,B+,C
A,A+,C,C,B+,C
A,A+,C+,C,A,C+
A,A,C+,C,B,B+
A,B,C+,C,B+,C+
A+,A+,B,C+,B+,B+
A,A+,B+,C+,A,B+
A,B+,D,C,C+,C+
A,A+,B+,C+,B+,B
A+,A,B+,C+,B+,C
A,A,C+,D,B+,C
A+,A,C,D,B+,C
A,A+,B+,C+,A,C
A,A+,B,C+,A,C+
A,B,C,D,C+,C
A,A,B+,C+,A,B+
A,A,B,C,B,B
A,A+,B,C+,A,B+
A,A,C,C+,A,B
A,A,B+,B,A,C+
A,B+,D,D,B,C
A,A,C+,C,B,C
A,A+,B,C,A,C
A,A,C,C+,A,C
A,C,C,C,B+,C+
A,A,F,F,B,C
A,A,B,D,B+,C+
